
2026-08-06 00:55:46.968 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 1
2026-08-06 00:55:46.968 | DEBUG    | androguard.core.axml:getAttributeName:997 - 1
2026-08-06 00:55:46.968 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 1
2026-08-06 00:55:46.968 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 1
2026-08-06 00:55:46.968 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}enabled='b'@7F050004''
2026-08-06 00:55:46.968 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 2
2026-08-06 00:55:46.968 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 2
2026-08-06 00:55:46.969 | DEBUG    | androguard.core.axml:getAttributeName:997 - 2
2026-08-06 00:55:46.969 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 2
2026-08-06 00:55:46.969 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 2
2026-08-06 00:55:46.969 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}exported='b'false''
2026-08-06 00:55:46.969 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 3
2026-08-06 00:55:46.969 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 3
2026-08-06 00:55:46.969 | DEBUG    | androguard.core.axml:getAttributeName:997 - 3
2026-08-06 00:55:46.969 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 3
2026-08-06 00:55:46.969 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 3
2026-08-06 00:55:46.969 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}directBootAware='b'false''
2026-08-06 00:55:46.969 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.970 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 2
2026-08-06 00:55:46.970 | DEBUG    | androguard.core.axml:_do_next:608 - NEXT HEADER <ARSCHeader idx='0x00055254' type='258' header_size='16' size='36'>
2026-08-06 00:55:46.970 | DEBUG    | androguard.core.axml:__init__:1146 - DEBUG ARSC TYPE 2
2026-08-06 00:55:46.970 | DEBUG    | androguard.core.axml:__init__:1167 - START_TAG: intent-filter (line=6241)
2026-08-06 00:55:46.970 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.970 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 2
2026-08-06 00:55:46.970 | DEBUG    | androguard.core.axml:_do_next:608 - NEXT HEADER <ARSCHeader idx='0x00055278' type='258' header_size='16' size='56'>
2026-08-06 00:55:46.970 | DEBUG    | androguard.core.axml:__init__:1146 - DEBUG ARSC TYPE 2
2026-08-06 00:55:46.970 | DEBUG    | androguard.core.axml:__init__:1167 - START_TAG: action (line=6242)
2026-08-06 00:55:46.970 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 0
2026-08-06 00:55:46.971 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 0
2026-08-06 00:55:46.971 | DEBUG    | androguard.core.axml:getAttributeName:997 - 0
2026-08-06 00:55:46.971 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 0
2026-08-06 00:55:46.971 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 0
2026-08-06 00:55:46.971 | DEBUG    | androguard.core.axml:getAttributeValue:1052 - 0
2026-08-06 00:55:46.971 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}name='b'androidx.work.impl.background.systemalarm.UpdateProxies''
2026-08-06 00:55:46.971 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.971 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 2
2026-08-06 00:55:46.971 | DEBUG    | androguard.core.axml:_do_next:608 - NEXT HEADER <ARSCHeader idx='0x000552b0' type='259' header_size='16' size='24'>
2026-08-06 00:55:46.972 | DEBUG    | androguard.core.axml:__init__:1146 - DEBUG ARSC TYPE 3
2026-08-06 00:55:46.972 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.972 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 3
2026-08-06 00:55:46.972 | DEBUG    | androguard.core.axml:_do_next:608 - NEXT HEADER <ARSCHeader idx='0x000552c8' type='259' header_size='16' size='24'>
2026-08-06 00:55:46.972 | DEBUG    | androguard.core.axml:__init__:1146 - DEBUG ARSC TYPE 3
2026-08-06 00:55:46.972 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.972 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 3
2026-08-06 00:55:46.972 | DEBUG    | androguard.core.axml:_do_next:608 - NEXT HEADER <ARSCHeader idx='0x000552e0' type='259' header_size='16' size='24'>
2026-08-06 00:55:46.972 | DEBUG    | androguard.core.axml:__init__:1146 - DEBUG ARSC TYPE 3
2026-08-06 00:55:46.972 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.972 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 3
2026-08-06 00:55:46.973 | DEBUG    | androguard.core.axml:_do_next:608 - NEXT HEADER <ARSCHeader idx='0x000552f8' type='258' header_size='16' size='136'>
2026-08-06 00:55:46.973 | DEBUG    | androguard.core.axml:__init__:1146 - DEBUG ARSC TYPE 2
2026-08-06 00:55:46.973 | DEBUG    | androguard.core.axml:__init__:1167 - START_TAG: receiver (line=6245)
2026-08-06 00:55:46.973 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 0
2026-08-06 00:55:46.973 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 0
2026-08-06 00:55:46.973 | DEBUG    | androguard.core.axml:getAttributeName:997 - 0
2026-08-06 00:55:46.973 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 0
2026-08-06 00:55:46.973 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 0
2026-08-06 00:55:46.973 | DEBUG    | androguard.core.axml:getAttributeValue:1052 - 0
2026-08-06 00:55:46.973 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}name='b'androidx.work.impl.diagnostics.DiagnosticsReceiver''
2026-08-06 00:55:46.974 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 1
2026-08-06 00:55:46.974 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 1
2026-08-06 00:55:46.974 | DEBUG    | androguard.core.axml:getAttributeName:997 - 1
2026-08-06 00:55:46.974 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 1
2026-08-06 00:55:46.974 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 1
2026-08-06 00:55:46.974 | DEBUG    | androguard.core.axml:getAttributeValue:1052 - 1
2026-08-06 00:55:46.974 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}permission='b'android.permission.DUMP''
2026-08-06 00:55:46.974 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 2
2026-08-06 00:55:46.974 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 2
2026-08-06 00:55:46.974 | DEBUG    | androguard.core.axml:getAttributeName:997 - 2
2026-08-06 00:55:46.974 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 2
2026-08-06 00:55:46.974 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 2
2026-08-06 00:55:46.974 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}enabled='b'true''
2026-08-06 00:55:46.975 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 3
2026-08-06 00:55:46.975 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 3
2026-08-06 00:55:46.975 | DEBUG    | androguard.core.axml:getAttributeName:997 - 3
2026-08-06 00:55:46.975 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 3
2026-08-06 00:55:46.975 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 3
2026-08-06 00:55:46.975 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}exported='b'true''
2026-08-06 00:55:46.975 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 4
2026-08-06 00:55:46.975 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 4
2026-08-06 00:55:46.975 | DEBUG    | androguard.core.axml:getAttributeName:997 - 4
2026-08-06 00:55:46.975 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 4
2026-08-06 00:55:46.975 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 4
2026-08-06 00:55:46.975 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}directBootAware='b'false''
2026-08-06 00:55:46.975 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.976 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 2
2026-08-06 00:55:46.976 | DEBUG    | androguard.core.axml:_do_next:608 - NEXT HEADER <ARSCHeader idx='0x00055380' type='258' header_size='16' size='36'>
2026-08-06 00:55:46.976 | DEBUG    | androguard.core.axml:__init__:1146 - DEBUG ARSC TYPE 2
2026-08-06 00:55:46.976 | DEBUG    | androguard.core.axml:__init__:1167 - START_TAG: intent-filter (line=6251)
2026-08-06 00:55:46.976 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.976 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 2
2026-08-06 00:55:46.976 | DEBUG    | androguard.core.axml:_do_next:608 - NEXT HEADER <ARSCHeader idx='0x000553a4' type='258' header_size='16' size='56'>
2026-08-06 00:55:46.976 | DEBUG    | androguard.core.axml:__init__:1146 - DEBUG ARSC TYPE 2
2026-08-06 00:55:46.977 | DEBUG    | androguard.core.axml:__init__:1167 - START_TAG: action (line=6252)
2026-08-06 00:55:46.977 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 0
2026-08-06 00:55:46.978 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 0
2026-08-06 00:55:46.978 | DEBUG    | androguard.core.axml:getAttributeName:997 - 0
2026-08-06 00:55:46.979 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 0
2026-08-06 00:55:46.980 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 0
2026-08-06 00:55:46.980 | DEBUG    | androguard.core.axml:getAttributeValue:1052 - 0
2026-08-06 00:55:46.980 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}name='b'androidx.work.diagnostics.REQUEST_DIAGNOSTICS''
2026-08-06 00:55:46.980 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.980 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 2
2026-08-06 00:55:46.980 | DEBUG    | androguard.core.axml:_do_next:608 - NEXT HEADER <ARSCHeader idx='0x000553dc' type='259' header_size='16' size='24'>
2026-08-06 00:55:46.980 | DEBUG    | androguard.core.axml:__init__:1146 - DEBUG ARSC TYPE 3
2026-08-06 00:55:46.980 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.980 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 3
2026-08-06 00:55:46.980 | DEBUG    | androguard.core.axml:_do_next:608 - NEXT HEADER <ARSCHeader idx='0x000553f4' type='259' header_size='16' size='24'>
2026-08-06 00:55:46.980 | DEBUG    | androguard.core.axml:__init__:1146 - DEBUG ARSC TYPE 3
2026-08-06 00:55:46.980 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.980 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 3
2026-08-06 00:55:46.980 | DEBUG    | androguard.core.axml:_do_next:608 - NEXT HEADER <ARSCHeader idx='0x0005540c' type='259' header_size='16' size='24'>
2026-08-06 00:55:46.981 | DEBUG    | androguard.core.axml:__init__:1146 - DEBUG ARSC TYPE 3
2026-08-06 00:55:46.981 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.981 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 3
2026-08-06 00:55:46.981 | DEBUG    | androguard.core.axml:_do_next:608 - NEXT HEADER <ARSCHeader idx='0x00055424' type='258' header_size='16' size='96'>
2026-08-06 00:55:46.981 | DEBUG    | androguard.core.axml:__init__:1146 - DEBUG ARSC TYPE 2
2026-08-06 00:55:46.981 | DEBUG    | androguard.core.axml:__init__:1167 - START_TAG: service (line=6256)
2026-08-06 00:55:46.981 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 0
2026-08-06 00:55:46.981 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 0
2026-08-06 00:55:46.981 | DEBUG    | androguard.core.axml:getAttributeName:997 - 0
2026-08-06 00:55:46.981 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 0
2026-08-06 00:55:46.981 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 0
2026-08-06 00:55:46.981 | DEBUG    | androguard.core.axml:getAttributeValue:1052 - 0
2026-08-06 00:55:46.981 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}name='b'androidx.room.MultiInstanceInvalidationService''
2026-08-06 00:55:46.981 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 1
2026-08-06 00:55:46.982 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 1
2026-08-06 00:55:46.982 | DEBUG    | androguard.core.axml:getAttributeName:997 - 1
2026-08-06 00:55:46.982 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 1
2026-08-06 00:55:46.982 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 1
2026-08-06 00:55:46.982 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}exported='b'false''
2026-08-06 00:55:46.982 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 2
2026-08-06 00:55:46.982 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 2
2026-08-06 00:55:46.982 | DEBUG    | androguard.core.axml:getAttributeName:997 - 2
2026-08-06 00:55:46.982 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 2
2026-08-06 00:55:46.982 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 2
2026-08-06 00:55:46.982 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}directBootAware='b'true''
2026-08-06 00:55:46.982 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.982 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 2
